CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CW,CCW,CCW,CCW,CCW,CCW,CCW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
NR,NR,NR,NR,NR,NR,NR,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
CCW,CCW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CW,CCW,CCW,NR,CCW,NR,NR,CCW,CW,CW,NR,CW,CW,NR,NR,NR,CCW,CW,CCW,CW,CW,CW,CW,CW
CCW,CCW,CCW,CCW,CCW,CCW,NR,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
