NR,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CCW,CW,CCW,CW,CW
NR,NR,NR,CCW,CCW,CCW,NR,CCW,CCW,CCW,NR,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,NR,CCW,NR,CCW,CCW,NR,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
NR,CW,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CW,CW,CW,CW,CW,CW,NR,CW,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW
NR,CCW,NR,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
CCW,CCW,CW,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,NR,CW,CCW,CW,CW,CW,CW,CW,CW,CCW
NR,NR,CW,NR,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
CW,CW,CW,CW,CCW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW,CW
NR,CCW,CCW,NR,CCW,CCW,CW,CW,CCW,CCW,CCW,NR,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CCW,CW
